useless,budget,genres,id,imdb_id,overview,popularity,poster_path,revenue,runtime,title,vote_average,vote_count,year
0,21000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1646,tt0463998,"A young teacher inspires her class of at-risk students to learn tolerance, apply themselves, and pursue education beyond high school.",13.585232999999999,/bffP9cAgOHsMNnc55zIXrDnz7QD.jpg,41170784.0,123.0,Freedom Writers,7.6,368.0,2007.0
1,20000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",14396,tt0462229,"Cedric the Entertainer plays Jake, a seemingly regular guy who has no idea who he is after being hit over the head by mysterious assailants. When he finds himself entangled in a government conspiracy, Jake and his pursuers become convinced that he is an undercover agent.",11.107148,/g7ZPKV2HeqZQRjKLKTKIC13o1KW.jpg,10337477.0,84.0,Code Name: The Cleaner,4.7,78.0,2007.0
2,10000000,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 80, 'name': 'Crime'}]",8398,tt0455960,"While driving through the New Mexico Desert during a rainy night, the college students Jim Halsey and his girlfriend Grace Andrews give a ride to the hitchhiker John Ryder. While in their car, the stranger proves to be a psychopath threatening the young couple with a knife, but Jim succeeds to throw him out of the car on the road. On the next morning, the young couple sees John in another car.",7.160966999999999,/mIPCt79baN62Xv6TAEwLDxLUqBz.jpg,25399945.0,84.0,The Hitcher,5.6,253.0,2007.0
3,60000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1265,tt0398808,"Jesse Aarons trained all summer to become the fastest runner in school, so he's very upset when newcomer Leslie Burke outruns him and everyone else. Despite this and other differences, including that she's rich, he's poor, and she's a city girl, he's a country boy, the two become fast friends. Together, they create Terabithia, a land of monsters, trolls, ogres, and giants and rule as king and queen.",8.460206,/gihMBO2SmUprI1ecYe7Eo7Eg1yq.jpg,137587063.0,96.0,Bridge to Terabithia,7.0,1146.0,2007.0
4,2000000,"[{'id': 35, 'name': 'Comedy'}]",10758,tt0473308,"Jenna is a pregnant, unhappily married waitress in the deep south. She meets a newcomer to her town and falls into an unlikely relationship as a last attempt at happiness.",11.276024000000001,/88FWNhsEvnCGELvUgQEpZ1E5nd5.jpg,22179430.0,108.0,Waitress,6.6,132.0,2007.0
5,16000000,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",9966,tt0425430,"When the Solomons trade in the craziness of big-city life for the quiet of a North Dakota farm, little do they expect the nightmare that follows. Soon after arriving, teenage Jess (Kristen Stewart) and her younger brother see terrifying apparitions and endure attacks from a supernatural source. Jess must warn her disbelieving family before it is too late to save them.",9.629399000000001,/x2Z5iXhHaoK22vwfxju5vq25apS.jpg,1109660.0,90.0,The Messengers,5.6,216.0,2007.0
6,0,"[{'id': 35, 'name': 'Comedy'}]",1257,tt0490084,"In an effort to prevent family history from repeating itself, meddlesome mom Daphne Wilder attempts to set up her youngest daughter, Milly, with Mr. Right. Meanwhile, her other daughters try to keep their mom's good intentions under control.",14.764607,/a7fBuvCoPPP5RQMZuPN25OT4rk9.jpg,69485490.0,102.0,Because I Said So,5.8,194.0,2007.0
7,60000000,"[{'id': 35, 'name': 'Comedy'}]",9757,tt0477051,"A mild-mannered guy who is engaged to a monstrous woman meets the woman of his dreams, and schemes to find a way to be with her.",7.667874,/nG88HIY4JR4LUsq1bRIN8jZdB5Z.jpg,95673607.0,101.0,Norbit,5.0,434.0,2007.0
8,150000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",2062,tt0382932,"A rat named Remy dreams of becoming a great French chef despite his family's wishes and the obvious problem of being a rat in a decidedly rodent-phobic profession. When fate places Remy in the sewers of Paris, he finds himself ideally situated beneath a restaurant made famous by his culinary hero, Auguste Gusteau. Despite the apparent dangers of being an unlikely - and certainly unwanted - visitor in the kitchen of a fine French restaurant, Remy's passion for cooking soon sets into motion a hilarious and exciting rat race that turns the culinary world of Paris upside down.",20.508029999999998,/jEiEU8viSb8CIIHcfprVr2V6XDz.jpg,623722818.0,111.0,Ratatouille,7.5,4510.0,2007.0
9,110000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",1250,tt0259324,"In order to save his dying father, young stunt cyclist, Johnny Blaze sells his soul to Mephistopheles and sadly parts from the pure-hearted, Roxanne Simpson, the love of his life. Years later, Johnny's path crosses again with Roxanne, now a go-getting reporter, and also with Mephistopheles, who offers to release Johnny's soul if Johnny becomes the fabled, fiery 'Ghost Rider'.",11.902353999999999,/jnllnSq8u4d1oQPU7PsoAHD6bLU.jpg,228738393.0,114.0,Ghost Rider,5.2,1754.0,2007.0
